iter	Logloss
0	0.6810778825
1	0.6691439259
2	0.6579949872
3	0.6449279955
4	0.6354507826
5	0.6249929441
6	0.6138677489
7	0.6027858404
8	0.5927086885
9	0.5830291637
10	0.5728771652
11	0.5635781085
12	0.5517572943
13	0.542947661
14	0.5345976414
15	0.525649702
16	0.5175304364
17	0.5091536204
18	0.5001460992
19	0.4917983845
20	0.4844332232
21	0.4773130321
22	0.469399226
23	0.4602675356
24	0.4529127967
25	0.4462453761
26	0.4390799133
27	0.4331022493
28	0.4268259059
29	0.4213081215
30	0.4136874164
31	0.4087412069
32	0.4020916358
33	0.3965947418
34	0.3905308263
35	0.3853387876
36	0.380538745
37	0.3743125456
38	0.3701943409
39	0.3653891319
40	0.3600380387
41	0.3544684847
42	0.3500885998
43	0.3457463878
44	0.3416772972
45	0.3358462584
46	0.3305411973
47	0.3258981915
48	0.3218621926
49	0.3168719008
50	0.3135015638
51	0.3105172485
52	0.306870823
53	0.303092404
54	0.2991756679
55	0.2949567064
56	0.2915352435
57	0.2885264977
58	0.2851379484
59	0.2826420751
60	0.2797161035
61	0.2767324189
62	0.2729538429
63	0.2697153466
64	0.2669024776
65	0.2644364858
66	0.2617055936
67	0.2591417336
68	0.2562311285
69	0.2541587728
70	0.2518065933
71	0.2497139899
72	0.2472433871
73	0.2442415157
74	0.2420536529
75	0.2399659748
76	0.2382691218
77	0.236323445
78	0.2333992386
79	0.2307502222
80	0.2284521519
81	0.2266625305
82	0.2245445557
83	0.2225631154
84	0.22065079
85	0.2188404773
86	0.2169242856
87	0.2153220554
88	0.2128380336
89	0.2112873308
90	0.2099705346
91	0.2080584219
92	0.2060320286
